Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: 0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:13180000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
13180000;1;01/08/2021;;1;1;129,229;108,445;115,413;1;27;1;1;1;;0;129,229;124,899;122,767;121,709;118,568;117,531;116,5;116,5;119,609;120,657;118,568;118,568;118,568;118,568;115,475;115,475;115,475;114,454;113,439;113,439;112,43;111,426;111,426;111,426;109,433;109,433;108,445;108,445;108,445;108,445;108,445;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/07/2021;;1;1;191,588;131,426;154,061;7;19;1;1;1;;0;158,908;172,843;180,737;178,082;182,073;188,84;191,588;188,84;186,115;182,743;172,194;156,449;146,837;141,012;137,583;135,325;136,451;133,089;131,426;134,764;141,588;145,075;146,248;142,165;140,437;137,583;138,72;139,291;139,863;137,583;131,426;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/06/2021;;1;1;505,838;155,838;403,641;11;30;1;1;1;;0;453,644;476,952;472,235;458,25;446,786;442,248;443,379;452,496;465,212;487,667;505,838;496,098;476,952;468,716;465,212;458,25;446,786;443,379;443,379;446,786;451,351;449,065;445,648;439,989;271,452;165,156;162,64;160,147;157,676;155,838;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
13180000;1;01/05/2021;;1;1;1510,645;442,248;602,125;1;27;1;1;1;;0;1510,645;1116,068;1043,244;1028,281;677,195;637,178;595,891;564,033;558,823;538,271;528,164;523,154;529,422;593,197;651,304;593,197;528,164;498,523;476,952;469,887;465,212;467,546;458,25;458,25;458,25;449,065;442,248;444,513;451,351;455,944;453,644;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/04/2021;;1;1;3856,1;1028,281;2387,828;3;27;1;1;1;;0;3663,778;3823,642;3856,1;3759,212;3655,891;3648,013;3577,568;3266,863;2747,756;2558,657;2590,693;2590,693;2937,943;2727,824;2642,44;2520,525;2089,028;1591,366;1450,587;1108,266;1739,915;1714,612;1557,827;1383,07;1058,334;1043,244;1028,281;1352,211;2027,287;1923,212;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
13180000;1;01/03/2021;;1;1;4638,839;1505,974;3001,416;1;8;1;1;1;;0;4638,839;4054,264;3913,292;3799,405;3289,033;2571,443;1832,827;1505,974;1838,073;2571,443;2784,521;2545,909;2470,207;2192,429;2140,36;2044,017;1765,438;1601,026;1853,863;2340,966;2727,824;3492,569;3751,204;3905,091;4004,172;4096,288;4071,043;4012,495;3995,859;3687,501;3546,52;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/02/2021;;1;1;6093,257;809,229;3975,569;23;3;1;1;1;;0;1065,928;877,117;809,229;987,791;1179,659;1278,975;1601,026;2089,028;2565,045;2979,679;3888,72;4215,322;4486,101;4739,284;4906,398;5115,314;5378,778;5448,362;5701,208;5793,896;5908,383;6040,092;6093,257;5945,089;5856,18;5538,606;5478,347;5349,117;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;
13180000;1;01/01/2021;;1;1;2784,521;885,617;1514,742;3;30;1;1;1;;0;2239,335;2662,002;2784,521;2408,152;1817,143;1330,421;1543,583;1739,915;2353,098;2761,092;2514,202;1473,516;1163,566;987,791;934,12;973,306;1116,068;1274,742;1343,47;1147,603;1147,603;1131,771;1077,378;1116,068;1171,596;1323,925;1287,466;1121,942;982,344;885,617;1143,633;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/12/2020;;1;1;2764,432;132,533;935,347;31;1;1;1;1;;0;132,533;293,134;386,769;386,769;473,412;699,228;870,351;901,041;791,563;715,651;674,289;612,21;573,218;523,154;491,27;510,75;503,393;492,474;465,212;426,58;418,871;540,815;638,582;877,117;1412,094;1712,094;1843,327;2489,006;2688,217;2688,217;2764,432;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
13180000;1;01/11/2020;;1;1;2688,217;132,533;877,886;29;1;1;1;1;;0;132,533;293,134;386,769;386,769;473,412;699,228;870,351;901,041;791,563;715,651;674,289;612,21;573,218;523,154;491,27;510,75;503,393;492,474;465,212;426,58;418,871;540,815;638,582;982,344;1412,094;1712,094;1843,327;2489,006;2688,217;2688,217;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
